Date,Return
31/3/2014,0.01%
28/2/2014,0.01%
31/1/2014,0.01%
31/12/2013,0.01%
30/11/2013,0.01%
31/10/2013,0.00%
30/9/2013,0.00%
31/8/2013,0.01%
31/7/2013,0.00%
30/6/2013,0.01%
31/5/2013,0.00%
30/4/2013,0.00%
31/3/2013,0.00%
28/2/2013,0.00%
31/1/2013,0.01%
31/12/2012,0.00%
30/11/2012,0.00%
31/10/2012,0.00%
30/9/2012,0.00%
31/8/2012,0.00%
31/7/2012,0.00%
30/6/2012,0.01%
31/5/2012,0.01%
30/4/2012,0.01%
31/3/2012,0.01%
29/2/2012,0.01%
31/1/2012,0.02%
31/12/2011,0.01%
30/11/2011,0.01%
31/10/2011,0.03%
30/9/2011,0.03%
31/8/2011,0.05%
31/7/2011,0.08%
30/6/2011,0.10%
31/5/2011,0.09%
30/4/2011,0.09%
31/3/2011,0.08%
28/2/2011,0.06%
31/1/2011,0.06%
31/12/2010,0.04%
30/11/2010,0.05%
31/10/2010,0.06%
30/9/2010,0.04%
31/8/2010,0.03%
31/7/2010,0.03%
30/6/2010,0.02%
31/5/2010,0.02%
30/4/2010,0.03%
31/3/2010,0.03%
28/2/2010,0.02%
31/1/2010,0.03%
31/12/2009,0.03%
30/11/2009,0.04%
31/10/2009,0.04%
30/9/2009,0.04%
31/8/2009,0.03%
31/7/2009,0.04%
30/6/2009,0.05%
31/5/2009,0.06%
30/4/2009,0.06%
31/3/2009,0.05%
28/2/2009,0.07%
31/1/2009,0.09%
31/12/2008,0.11%
30/11/2008,0.15%
31/10/2008,0.16%
30/9/2008,0.27%
31/8/2008,0.34%
31/7/2008,0.34%
30/6/2008,0.35%
31/5/2008,0.32%
30/4/2008,0.31%
31/3/2008,0.30%
29/2/2008,0.31%
31/1/2008,0.31%
31/12/2007,0.31%
30/11/2007,0.31%
31/10/2007,0.32%
28/9/2007,0.31%
31/8/2007,0.32%
31/7/2007,0.33%
29/6/2007,0.32%
31/5/2007,0.32%
30/4/2007,0.31%
30/3/2007,0.30%
28/2/2007,0.30%
31/1/2007,0.30%
29/12/2006,0.28%
30/11/2006,0.28%
31/10/2006,0.27%
29/9/2006,0.26%
31/8/2006,0.25%
31/7/2006,0.24%
30/6/2006,0.23%
31/5/2006,0.23%
28/4/2006,0.21%
31/3/2006,0.21%
28/2/2006,0.21%
31/1/2006,0.20%