Date,Price,Return,Excess Return,Volume
31/3/2014,0.44,10.13%,," 123,984 "
28/2/2014,0.40,-20.20%,," 125,949 "
31/1/2014,0.50,5.32%,," 82,683 "
31/12/2013,0.47,-6.00%,," 38,702 "
30/11/2013,0.50,19.05%,," 61,611 "
31/10/2013,0.42,5.00%,," 72,870 "
30/9/2013,0.40,17.65%,," 62,822 "
31/8/2013,0.34,19.30%,," 70,778 "
31/7/2013,0.29,7.55%,," 20,684 "
30/6/2013,0.27,-13.11%,," 26,470 "
31/5/2013,0.31,15.09%,," 30,208 "
30/4/2013,0.27,1.92%,," 40,560 "
31/3/2013,0.26,-7.14%,," 21,316 "
28/2/2013,0.28,-5.08%,," 23,860 "
31/1/2013,0.30,7.27%,," 38,535 "
31/12/2012,0.28,-9.84%,," 28,746 "
30/11/2012,0.31,-7.58%,," 11,118 "
31/10/2012,0.33,-7.04%,," 19,602 "
30/9/2012,0.36,2.90%,," 32,160 "
31/8/2012,0.35,9.52%,," 13,861 "
31/7/2012,0.32,-3.08%,," 11,468 "
30/6/2012,0.33,3.17%,," 12,182 "
31/5/2012,0.32,-8.70%,," 17,204 "
30/4/2012,0.35,-18.82%,," 42,251 "
31/3/2012,0.43,-4.49%,," 21,356 "
29/2/2012,0.45,-3.26%,," 19,720 "
31/1/2012,0.46,6.98%,," 36,482 "
31/12/2011,0.43,0.00%,," 68,957 "
30/11/2011,0.43,17.81%,," 50,374 "
31/10/2011,0.37,25.86%,," 46,542 "
30/9/2011,0.29,-12.12%,," 34,591 "
31/8/2011,0.33,-18.52%,," 52,650 "
31/7/2011,0.41,-23.58%,," 38,445 "
30/6/2011,0.53,-11.67%,," 52,715 "
31/5/2011,0.60,-6.25%,," 43,424 "
30/4/2011,0.64,-5.19%,," 45,717 "
31/3/2011,0.68,-4.93%,," 98,264 "
28/2/2011,0.71,5.19%,," 129,420 "
31/1/2011,0.68,-35.10%,," 289,566 "
31/12/2010,1.04,44.44%,," 66,799 "
30/11/2010,0.72,-20.26%,," 48,975 "
31/10/2010,0.90,51.93%,," 53,772 "
30/9/2010,0.59,-38.46%,," 38,496 "
31/8/2010,0.97,-1.75%,," 4,385 "
31/7/2010,0.98,5.53%,," 7,170 "
30/6/2010,0.93,-5.24%,," 5,752 "
31/5/2010,0.98,-14.43%,," 22,436 "
30/4/2010,1.15,-19.11%,," 39,721 "
31/3/2010,1.42,9.23%,," 22,483 "
28/2/2010,1.30,-11.82%,," 29,168 "
31/1/2010,1.47,17.81%,," 55,673 "
31/12/2009,1.25,18.38%,," 19,395 "
30/11/2009,1.06,-9.98%,," 21,145 "
31/10/2009,1.17,-39.11%,," 43,166 "
30/9/2009,1.93,-8.54%,," 21,526 "
31/8/2009,2.11,3.36%,," 12,877 "
31/7/2009,2.04,3.78%,," 12,395 "
30/6/2009,1.97,-7.77%,," 34,909 "
31/5/2009,2.13,-13.66%,," 18,519 "
30/4/2009,2.47,-14.45%,," 7,426 "
31/3/2009,2.89,-36.87%,," 14,395 "
28/2/2009,4.57,-15.79%,," 7,451 "
31/1/2009,5.43,-16.45%,," 15,511 "
31/12/2008,6.50,-3.65%,," 7,642 "
30/11/2008,6.74,8.06%,," 7,208 "
31/10/2008,6.24,-9.00%,," 16,418 "
30/9/2008,6.86,-11.76%,," 7,066 "
31/8/2008,7.77,0.15%,," 5,498 "
31/7/2008,7.76,-6.41%,," 14,819 "
30/6/2008,8.29,2.80%,," 5,909 "
31/5/2008,8.07,3.06%,," 8,761 "
30/4/2008,7.83,-1.51%,," 13,496 "
31/3/2008,7.95,-3.19%,," 9,752 "
29/2/2008,8.21,3.60%,," 17,443 "
31/1/2008,7.92,-0.71%,," 22,434 "
31/12/2007,7.98,-0.71%,," 14,044 "
30/11/2007,8.04,0.00%,," 7,186 "
31/10/2007,8.04,0.14%,," 13,694 "
28/9/2007,8.03,-3.89%,," 8,337 "
31/8/2007,8.35,-0.48%,," 10,296 "
31/7/2007,8.39,-0.62%,," 5,772 "
29/6/2007,8.44,4.00%,," 9,666 "
31/5/2007,8.12,-3.91%,," 8,496 "
30/4/2007,8.45,1.30%,," 7,821 "
30/3/2007,8.34,4.64%,," 23,792 "
28/2/2007,7.97,5.26%,," 9,848 "
31/1/2007,7.57,6.40%,," 10,701 "
29/12/2006,7.12,-5.02%,," 20,176 "
30/11/2006,7.49,8.76%,," 36,387 "
31/10/2006,6.89,2.89%,," 13,345 "
29/9/2006,6.70,-1.18%,," 5,647 "
31/8/2006,6.78,-0.17%,," 9,585 "
31/7/2006,6.79,4.27%,," 16,005 "
30/6/2006,6.51,2.42%,," 4,191 "
31/5/2006,6.36,-2.36%,," 10,509 "
28/4/2006,6.51,-0.43%,," 7,671 "
31/3/2006,6.54,3.23%,," 10,391 "
28/2/2006,6.33,-1.68%,," 12,438 "
31/1/2006,6.44,3.00%,," 20,116 "