Date,Price,Return,Excess Return
31/3/2014,327.97,-1.05%,
28/2/2014,331.44,4.89%,
31/1/2014,315.98,-1.60%,
31/12/2013,321.12,1.03%,
30/11/2013,317.86,0.94%,
31/10/2013,314.91,3.83%,
30/9/2013,303.29,4.41%,
31/8/2013,290.48,-0.68%,
31/7/2013,292.46,5.11%,
30/6/2013,278.25,-5.27%,
31/5/2013,293.74,1.20%,
30/4/2013,290.25,1.26%,
31/3/2013,286.64,1.25%,
28/2/2013,283.10,1.03%,
31/1/2013,280.21,2.72%,
31/12/2012,272.78,1.54%,
30/11/2012,268.65,1.94%,
31/10/2012,263.54,0.68%,
30/9/2012,261.77,0.92%,
31/8/2012,259.39,1.85%,
31/7/2012,254.68,4.01%,
30/6/2012,244.86,4.68%,
31/5/2012,233.92,-6.90%,
30/4/2012,251.25,-2.18%,
31/3/2012,256.84,-0.43%,
29/2/2012,257.95,3.91%,
31/1/2012,248.24,4.13%,
31/12/2011,238.40,1.89%,
30/11/2011,233.98,-1.46%,
31/10/2011,237.45,7.66%,
30/9/2011,220.56,-4.87%,
31/8/2011,231.84,-10.46%,
31/7/2011,258.91,-2.75%,
30/6/2011,266.23,-3.01%,
31/5/2011,274.50,-1.01%,
30/4/2011,277.30,2.80%,
31/3/2011,269.76,-3.54%,
28/2/2011,279.65,2.26%,
31/1/2011,273.48,1.47%,
31/12/2010,269.53,5.52%,
30/11/2010,255.42,-1.52%,
31/10/2010,259.36,2.51%,
30/9/2010,253.02,3.49%,
31/8/2010,244.48,-1.58%,
31/7/2010,248.40,4.92%,
30/6/2010,236.76,-0.70%,
31/5/2010,238.44,-5.86%,
30/4/2010,253.29,-1.13%,
31/3/2010,256.19,7.28%,
28/2/2010,238.81,-0.50%,
31/1/2010,240.02,-2.58%,
31/12/2009,246.38,6.14%,
30/11/2009,232.12,0.81%,
31/10/2009,230.25,-2.29%,
30/9/2009,235.64,2.82%,
31/8/2009,229.18,5.16%,
31/7/2009,217.93,9.15%,
30/6/2009,199.67,-1.23%,
31/5/2009,202.16,4.11%,
30/4/2009,194.17,13.68%,
31/3/2009,170.81,2.10%,
28/2/2009,167.30,-9.49%,
31/1/2009,184.85,-3.37%,
31/12/2008,191.30,-3.86%,
30/11/2008,198.98,-7.10%,
31/10/2008,214.19,-13.42%,
30/9/2008,247.38,-11.40%,
31/8/2008,279.22,1.68%,
31/7/2008,274.62,-2.13%,
30/6/2008,280.59,-10.17%,
31/5/2008,312.34,-0.18%,
30/4/2008,312.90,5.50%,
31/3/2008,296.59,-4.06%,
29/2/2008,309.15,-0.87%,
31/1/2008,311.85,-11.66%,
31/12/2007,353.03,-1.55%,
30/11/2007,358.57,-4.95%,
31/10/2007,377.24,2.87%,
28/9/2007,366.70,0.30%,
31/8/2007,365.61,-1.21%,
31/7/2007,370.07,-3.36%,
29/6/2007,382.95,-0.76%,
31/5/2007,385.90,2.52%,
30/4/2007,376.42,3.36%,
30/3/2007,364.18,2.59%,
28/2/2007,355.00,-2.04%,
31/1/2007,362.39,2.11%,
29/12/2006,354.89,3.85%,
30/11/2006,341.73,-0.34%,
31/10/2006,342.88,3.59%,
29/9/2006,331.01,2.00%,
31/8/2006,324.53,2.63%,
31/7/2006,316.22,1.61%,
30/6/2006,311.20,0.53%,
31/5/2006,309.56,-5.29%,
28/4/2006,326.86,0.67%,
31/3/2006,324.68,2.09%,
28/2/2006,318.03,2.09%,
31/1/2006,311.53,3.72%,