VIX,Date
17.96,2001/2/4
18.45,2001/5/4
17.66,2001/6/4
16.72,2001/7/4
15.42,2001/8/4
16.15,2001/9/4
17.32,2001/12/4
16.6,1/13/04
17.29,1/14/04
17.07,1/15/04
15.4,1/16/04
15.77,1/20/04
15.63,1/21/04
14.2,1/22/04
14.73,1/23/04
15.78,1/26/04
15.28,1/27/04
15.37,1/28/04
16.88,1/29/04
16.55,1/30/04
17.45,2002/2/4
17.29,2002/3/4
17.84,2002/4/4
17.91,2002/5/4
17.71,2002/6/4
16.54,2002/9/4
16.41,2002/10/4
15.9,2002/11/4
15.36,2002/12/4
15.12,2/13/04
15.63,2/17/04
15.51,2/18/04
15.33,2/19/04
15.85,2/20/04
16.5,2/23/04
16.38,2/24/04
15.58,2/25/04
15.32,2/26/04
13.8,2/27/04
14.91,2003/1/4
14.59,2003/2/4
14.73,2003/3/4
14.45,2003/4/4
14.81,2003/5/4
14.83,2003/8/4
15.57,2003/9/4
16.12,2003/10/4
18.81,2003/11/4
19.94,2003/12/4
18.98,3/15/04
20.27,3/16/04
19.54,3/17/04
18.38,3/18/04
17.98,3/19/04
20.61,3/22/04
21.06,3/23/04
20.24,3/24/04
19.58,3/25/04
18.19,3/26/04
17.11,3/29/04
16.68,3/30/04
16.33,3/31/04
16.76,2004/1/4
15.21,2004/2/4
16.17,2004/5/4
15.35,2004/6/4
15.41,2004/7/4
14.96,2004/8/4
15.71,2004/12/4
15.29,4/13/04
17.29,4/14/04
16.02,4/15/04
15.59,4/16/04
15.73,4/19/04
15.24,4/20/04
16.61,4/21/04
15.89,4/22/04
14.42,4/23/04
14.75,4/26/04
15.05,4/27/04
15.55,4/28/04
16.36,4/29/04
16.27,4/30/04
17.69,2005/3/4
16.8,2005/4/4
16.43,2005/5/4
16.45,2005/6/4
17.22,2005/7/4
19.44,2005/10/4
19.23,2005/11/4
18.79,2005/12/4
18.78,5/13/04
18.66,5/14/04
19.7,5/17/04
19.6,5/18/04
18.48,5/19/04
18.6,5/20/04
18.73,5/21/04
18.79,5/24/04
18.41,5/25/04
16.09,5/26/04
15.74,5/27/04
15.44,5/28/04
16.6,2006/1/4
16.05,2006/2/4
16.43,2006/3/4
16.24,2006/4/4
16.6,2006/7/4
15.79,2006/8/4
14.56,2006/9/4
15.33,2006/10/4
15.54,6/14/04
15.34,6/15/04
14.83,6/16/04
15.06,6/17/04
14.74,6/18/04
15.61,6/21/04
15.44,6/22/04
14.6,6/23/04
14.39,6/24/04
14.78,6/25/04
15.28,6/28/04
15.22,6/29/04
15.27,6/30/04
14.74,2007/1/4
15.23,2007/2/4
16.25,2007/6/4
16.36,2007/7/4
15.86,2007/8/4
16.01,2007/9/4
15.25,2007/12/4
14.86,7/13/04
14.9,7/14/04
13.94,7/15/04
14.27,7/16/04
15.17,7/19/04
15.53,7/20/04
14,7/21/04
16.65,7/22/04
15.82,7/23/04
17.22,7/26/04
17.24,7/27/04
16.77,7/28/04
16,7/29/04
15.85,7/30/04
16.42,2008/2/4
15.56,2008/3/4
16.33,2008/4/4
16.19,2008/5/4
18.21,2008/6/4
19.97,2008/9/4
18.8,2008/10/4
18.15,2008/11/4
18.61,2008/12/4
18.91,8/13/04
19.28,8/16/04
16.58,8/17/04
17.55,8/18/04
16.54,8/19/04
16.99,8/20/04
16.68,8/23/04
15.63,8/24/04
15.4,8/25/04
15.22,8/26/04
14.91,8/27/04
15.35,8/30/04
15.64,8/31/04
15.39,2009/1/4
14.97,2009/2/4
14.36,2009/3/4
14.52,2009/7/4
14.16,2009/8/4
14.12,2009/9/4
13.9,2009/10/4
13.64,9/13/04
13.5,9/14/04
13.88,9/15/04
14.29,9/16/04
14.11,9/17/04
13.98,9/20/04
15.98,9/21/04
15.28,9/22/04
14.85,9/23/04
14.93,9/24/04
14.86,9/27/04
14.73,9/28/04
14.09,9/29/04
13.49,9/30/04
13.11,2010/1/4
13.05,2010/4/4
13.51,2010/5/4
14.01,2010/6/4
13.33,2010/7/4
14.7,2010/8/4
14.69,2010/11/4
15.21,2010/12/4
13.92,10/13/04
15.22,10/14/04
16.28,10/15/04
16.16,10/18/04
16.32,10/19/04
15.46,10/20/04
14.98,10/21/04
14.59,10/22/04
16.07,10/25/04
16.72,10/26/04
16.48,10/27/04
16.02,10/28/04
15.83,10/29/04
16.43,2011/1/4
15.99,2011/2/4
15.05,2011/3/4
13.83,2011/4/4
13.67,2011/5/4
14.11,2011/8/4
12.89,2011/9/4
13.16,2011/10/4
13.11,2011/11/4
13.24,2011/12/4
14.05,11/15/04
13.41,11/16/04
13.2,11/17/04
13.22,11/18/04
12.79,11/19/04
13.71,11/22/04
12.78,11/23/04
12.58,11/24/04
12.76,11/26/04
12.99,11/29/04
13.27,11/30/04
13.1,2012/1/4
12.97,2012/2/4
13.02,2012/3/4
12.95,2012/6/4
13.07,2012/7/4
13.52,2012/8/4
13.52,2012/9/4
13.05,2012/10/4
12.37,12/13/04
12.55,12/14/04
12.41,12/15/04
12.34,12/16/04
12.34,12/17/04
12.26,12/20/04
11.78,12/21/04
11.42,12/22/04
11.41,12/23/04
11.53,12/27/04
12.25,12/28/04
11.61,12/29/04
12.25,12/30/04
12.42,12/31/04
13.39,2001/3/5
14.01,2001/4/5
13.98,2001/5/5
14.09,2001/6/5
13.47,2001/7/5
13.92,2001/10/5
13.44,2001/11/5
13.94,2001/12/5
12.7,1/13/05
12.68,1/14/05
13.13,1/18/05
12.47,1/19/05
13.37,1/20/05
13.75,1/21/05
14.38,1/24/05
14.34,1/25/05
13.84,1/26/05
13.5,1/27/05
13.15,1/28/05
13.63,1/31/05
12.8,2002/1/5
12.01,2002/2/5
12.03,2002/3/5
11.97,2002/4/5
11.53,2002/7/5
11.66,2002/8/5
11.52,2002/9/5
11.98,2002/10/5
11.64,2002/11/5
11.28,2/14/05
11.57,2/15/05
11.4,2/16/05
11.25,2/17/05
11.99,2/18/05
12.18,2/22/05
12.94,2/23/05
12.51,2/24/05
11.75,2/25/05
11.89,2/28/05
11.95,2003/1/5
12.88,2003/2/5
12.28,2003/3/5
12.49,2003/4/5
12.36,2003/7/5
12.06,2003/8/5
12.23,2003/9/5
12.62,2003/10/5