index,Date,VIX
1,2004-01-02,17.96
2,2004-01-05,18.45
3,2004-01-06,17.66
4,2004-01-07,16.72
5,2004-01-08,15.42
6,2004-01-09,16.15
7,2004-01-12,17.32
8,2004-01-13,16.6
9,2004-01-14,17.29
10,2004-01-15,17.07
11,2004-01-16,15.4
12,2004-01-20,15.77
13,2004-01-21,15.63
14,2004-01-22,14.2
15,2004-01-23,14.73
16,2004-01-26,15.78
17,2004-01-27,15.28
18,2004-01-28,15.37
19,2004-01-29,16.88
20,2004-01-30,16.55
21,2004-02-02,17.45
22,2004-02-03,17.29
23,2004-02-04,17.84
24,2004-02-05,17.91
25,2004-02-06,17.71
26,2004-02-09,16.54
27,2004-02-10,16.41
28,2004-02-11,15.9
29,2004-02-12,15.36
30,2004-02-13,15.12
31,2004-02-17,15.63
32,2004-02-18,15.51
33,2004-02-19,15.33
34,2004-02-20,15.85
35,2004-02-23,16.5
36,2004-02-24,16.38
37,2004-02-25,15.58
38,2004-02-26,15.32
39,2004-02-27,13.8
40,2004-03-01,14.91
41,2004-03-02,14.59
42,2004-03-03,14.73
43,2004-03-04,14.45
44,2004-03-05,14.81
45,2004-03-08,14.83
46,2004-03-09,15.57
47,2004-03-10,16.12
48,2004-03-11,18.81
49,2004-03-12,19.94
50,2004-03-15,18.98
51,2004-03-16,20.27
52,2004-03-17,19.54
53,2004-03-18,18.38
54,2004-03-19,17.98
55,2004-03-22,20.61
56,2004-03-23,21.06
57,2004-03-24,20.24
58,2004-03-25,19.58
59,2004-03-26,18.19
60,2004-03-29,17.11
61,2004-03-30,16.68
62,2004-03-31,16.33
63,2004-04-01,16.76
64,2004-04-02,15.21
65,2004-04-05,16.17
66,2004-04-06,15.35
67,2004-04-07,15.41
68,2004-04-08,14.96
69,2004-04-12,15.71
70,2004-04-13,15.29
71,2004-04-14,17.29
72,2004-04-15,16.02
73,2004-04-16,15.59
74,2004-04-19,15.73
75,2004-04-20,15.24
76,2004-04-21,16.61
77,2004-04-22,15.89
78,2004-04-23,14.42
79,2004-04-26,14.75
80,2004-04-27,15.05
81,2004-04-28,15.55
82,2004-04-29,16.36
83,2004-04-30,16.27
84,2004-05-03,17.69
85,2004-05-04,16.8
86,2004-05-05,16.43
87,2004-05-06,16.45
88,2004-05-07,17.22
89,2004-05-10,19.44
90,2004-05-11,19.23
91,2004-05-12,18.79
92,2004-05-13,18.78
93,2004-05-14,18.66
94,2004-05-17,19.7
95,2004-05-18,19.6
96,2004-05-19,18.48
97,2004-05-20,18.6
98,2004-05-21,18.73
99,2004-05-24,18.79
100,2004-05-25,18.41
101,2004-05-26,16.09
102,2004-05-27,15.74
103,2004-05-28,15.44
104,2004-06-01,16.6
105,2004-06-02,16.05
106,2004-06-03,16.43
107,2004-06-04,16.24
108,2004-06-07,16.6
109,2004-06-08,15.79
110,2004-06-09,14.56
111,2004-06-10,15.33
112,2004-06-14,15.54
113,2004-06-15,15.34
114,2004-06-16,14.83
115,2004-06-17,15.06
116,2004-06-18,14.74
117,2004-06-21,15.61
118,2004-06-22,15.44
119,2004-06-23,14.6
120,2004-06-24,14.39
121,2004-06-25,14.78
122,2004-06-28,15.28
123,2004-06-29,15.22
124,2004-06-30,15.27
125,2004-07-01,14.74
126,2004-07-02,15.23
127,2004-07-06,16.25
128,2004-07-07,16.36
129,2004-07-08,15.86
130,2004-07-09,16.01
131,2004-07-12,15.25
132,2004-07-13,14.86
133,2004-07-14,14.9
134,2004-07-15,13.94
135,2004-07-16,14.27
136,2004-07-19,15.17
137,2004-07-20,15.53
138,2004-07-21,14
139,2004-07-22,16.65
140,2004-07-23,15.82
141,2004-07-26,17.22
142,2004-07-27,17.24
143,2004-07-28,16.77
144,2004-07-29,16
145,2004-07-30,15.85
146,2004-08-02,16.42
147,2004-08-03,15.56
148,2004-08-04,16.33
149,2004-08-05,16.19
150,2004-08-06,18.21
151,2004-08-09,19.97
152,2004-08-10,18.8
153,2004-08-11,18.15
154,2004-08-12,18.61
155,2004-08-13,18.91
156,2004-08-16,19.28
157,2004-08-17,16.58
158,2004-08-18,17.55
159,2004-08-19,16.54
160,2004-08-20,16.99
161,2004-08-23,16.68
162,2004-08-24,15.63
163,2004-08-25,15.4
164,2004-08-26,15.22
165,2004-08-27,14.91
166,2004-08-30,15.35
167,2004-08-31,15.64
168,2004-09-01,15.39
169,2004-09-02,14.97
170,2004-09-03,14.36
171,2004-09-07,14.52
172,2004-09-08,14.16
173,2004-09-09,14.12
174,2004-09-10,13.9
175,2004-09-13,13.64
176,2004-09-14,13.5
177,2004-09-15,13.88
178,2004-09-16,14.29
179,2004-09-17,14.11
180,2004-09-20,13.98
181,2004-09-21,15.98
182,2004-09-22,15.28
183,2004-09-23,14.85
184,2004-09-24,14.93
185,2004-09-27,14.86
186,2004-09-28,14.73
187,2004-09-29,14.09
188,2004-09-30,13.49
189,2004-10-01,13.11
190,2004-10-04,13.05
191,2004-10-05,13.51
192,2004-10-06,14.01
193,2004-10-07,13.33
194,2004-10-08,14.7
195,2004-10-11,14.69
196,2004-10-12,15.21
197,2004-10-13,13.92
198,2004-10-14,15.22
199,2004-10-15,16.28
200,2004-10-18,16.16
201,2004-10-19,16.32
202,2004-10-20,15.46
203,2004-10-21,14.98
204,2004-10-22,14.59
205,2004-10-25,16.07
206,2004-10-26,16.72
207,2004-10-27,16.48
208,2004-10-28,16.02
209,2004-10-29,15.83
210,2004-11-01,16.43
211,2004-11-02,15.99
212,2004-11-03,15.05
213,2004-11-04,13.83
214,2004-11-05,13.67
215,2004-11-08,14.11
216,2004-11-09,12.89
217,2004-11-10,13.16
218,2004-11-11,13.11
219,2004-11-12,13.24
220,2004-11-15,14.05
221,2004-11-16,13.41
222,2004-11-17,13.2
223,2004-11-18,13.22
224,2004-11-19,12.79
225,2004-11-22,13.71
226,2004-11-23,12.78
227,2004-11-24,12.58
228,2004-11-26,12.76
229,2004-11-29,12.99
230,2004-11-30,13.27
231,2004-12-01,13.1
232,2004-12-02,12.97
233,2004-12-03,13.02
234,2004-12-06,12.95
235,2004-12-07,13.07
236,2004-12-08,13.52
237,2004-12-09,13.52
238,2004-12-10,13.05
239,2004-12-13,12.37
240,2004-12-14,12.55
241,2004-12-15,12.41
242,2004-12-16,12.34
243,2004-12-17,12.34
244,2004-12-20,12.26
245,2004-12-21,11.78
246,2004-12-22,11.42
247,2004-12-23,11.41
248,2004-12-27,11.53
249,2004-12-28,12.25
250,2004-12-29,11.61
251,2004-12-30,12.25
252,2004-12-31,12.42
253,2005-01-03,13.39
254,2005-01-04,14.01
255,2005-01-05,13.98
256,2005-01-06,14.09
257,2005-01-07,13.47
258,2005-01-10,13.92
259,2005-01-11,13.44
260,2005-01-12,13.94
261,2005-01-13,12.7
262,2005-01-14,12.68
263,2005-01-18,13.13
264,2005-01-19,12.47
265,2005-01-20,13.37
266,2005-01-21,13.75
267,2005-01-24,14.38
268,2005-01-25,14.34
269,2005-01-26,13.84
270,2005-01-27,13.5
271,2005-01-28,13.15
272,2005-01-31,13.63
273,2005-02-01,12.8
274,2005-02-02,12.01
275,2005-02-03,12.03
276,2005-02-04,11.97
277,2005-02-07,11.53
278,2005-02-08,11.66
279,2005-02-09,11.52
280,2005-02-10,11.98
281,2005-02-11,11.64
282,2005-02-14,11.28
283,2005-02-15,11.57
284,2005-02-16,11.4
285,2005-02-17,11.25
286,2005-02-18,11.99
287,2005-02-22,12.18
288,2005-02-23,12.94
289,2005-02-24,12.51
290,2005-02-25,11.75
291,2005-02-28,11.89
292,2005-03-01,11.95
293,2005-03-02,12.88
294,2005-03-03,12.28
295,2005-03-04,12.49
296,2005-03-07,12.36
297,2005-03-08,12.06
298,2005-03-09,12.23
299,2005-03-10,12.62
